instance,solver,m_knapsacks,n_items,objective,runtime,status,gap
probT1_0U_R50_T002_M020_N0040_seed10.txt,OR-Tools,20,40,16725.0,60.036282777786255,Feasible,
probT1_0U_R50_T002_M020_N0060_seed01.txt,PuLP,20,60,26236.0,60.20509386062622,Optimal,
probT1_0U_R50_T002_M020_N0060_seed01.txt,OR-Tools,20,60,26274.0,60.26173639297485,Feasible,
probT1_0U_R50_T002_M020_N0060_seed02.txt,PuLP,20,60,21746.0,60.23537516593933,Optimal,
probT1_0U_R50_T002_M020_N0060_seed02.txt,OR-Tools,20,60,22050.0,60.16763782501221,Feasible,
probT1_0U_R50_T002_M020_N0060_seed03.txt,PuLP,20,60,22268.0,60.23599457740784,Optimal,
probT1_0U_R50_T002_M020_N0060_seed03.txt,OR-Tools,20,60,22984.0,60.066787242889404,Feasible,
probT1_0U_R50_T002_M020_N0060_seed04.txt,PuLP,20,60,23783.0,60.133816719055176,Optimal,
probT1_0U_R50_T002_M020_N0060_seed04.txt,OR-Tools,20,60,24091.0,60.122936487197876,Feasible,
probT1_0U_R50_T002_M020_N0060_seed05.txt,PuLP,20,60,24133.0,60.17374920845032,Optimal,
probT1_0U_R50_T002_M020_N0060_seed05.txt,OR-Tools,20,60,23666.0,60.07515048980713,Feasible,
probT1_0U_R50_T002_M020_N0060_seed06.txt,PuLP,20,60,24686.0,60.191179275512695,Optimal,
probT1_0U_R50_T002_M020_N0060_seed06.txt,OR-Tools,20,60,24987.0,60.10678577423096,Feasible,
probT1_0U_R50_T002_M020_N0060_seed07.txt,PuLP,20,60,22232.0,60.17632794380188,Optimal,
probT1_0U_R50_T002_M020_N0060_seed07.txt,OR-Tools,20,60,22870.0,60.090927600860596,Feasible,
probT1_0U_R50_T002_M020_N0060_seed08.txt,PuLP,20,60,23755.0,60.1422164440155,Optimal,
probT1_0U_R50_T002_M020_N0060_seed08.txt,OR-Tools,20,60,23564.0,60.11236834526062,Feasible,
probT1_0U_R50_T002_M020_N0060_seed09.txt,PuLP,20,60,24160.0,60.17043876647949,Optimal,
probT1_0U_R50_T002_M020_N0060_seed09.txt,OR-Tools,20,60,23630.0,60.43444013595581,Feasible,
probT1_0U_R50_T002_M020_N0060_seed10.txt,PuLP,20,60,26112.0,60.20441484451294,Optimal,
probT1_0U_R50_T002_M020_N0060_seed10.txt,OR-Tools,20,60,26280.0,60.103798151016235,Feasible,
probT1_1W_R50_T002_M010_N0020_seed01.txt,PuLP,10,20,5684.0,0.16248416900634766,Optimal,
probT1_1W_R50_T002_M010_N0020_seed01.txt,OR-Tools,10,20,5684.0,0.28642773628234863,Optimal,
probT1_1W_R50_T002_M010_N0020_seed02.txt,PuLP,10,20,5626.0,0.5052680969238281,Optimal,
probT1_1W_R50_T002_M010_N0020_seed02.txt,OR-Tools,10,20,5626.0,0.38449907302856445,Optimal,
probT1_1W_R50_T002_M010_N0020_seed03.txt,PuLP,10,20,4872.0,0.07404351234436035,Optimal,
probT1_1W_R50_T002_M010_N0020_seed03.txt,OR-Tools,10,20,4872.0,0.04493904113769531,Optimal,
probT1_1W_R50_T002_M010_N0020_seed04.txt,PuLP,10,20,6043.0,0.20436811447143555,Optimal,
probT1_1W_R50_T002_M010_N0020_seed04.txt,OR-Tools,10,20,6043.0,0.10364651679992676,Optimal,
probT1_1W_R50_T002_M010_N0020_seed05.txt,PuLP,10,20,5751.0,0.4934420585632324,Optimal,
probT1_1W_R50_T002_M010_N0020_seed05.txt,OR-Tools,10,20,5751.0,0.16741371154785156,Optimal,
probT1_1W_R50_T002_M010_N0020_seed06.txt,PuLP,10,20,5676.0,0.10190391540527344,Optimal,
probT1_1W_R50_T002_M010_N0020_seed06.txt,OR-Tools,10,20,5676.0,0.07736086845397949,Optimal,
probT1_1W_R50_T002_M010_N0020_seed07.txt,PuLP,10,20,4955.0,0.3406531810760498,Optimal,
probT1_1W_R50_T002_M010_N0020_seed07.txt,OR-Tools,10,20,4955.0,0.18961477279663086,Optimal,
probT1_1W_R50_T002_M010_N0020_seed08.txt,PuLP,10,20,5160.0,0.3815758228302002,Optimal,
probT1_1W_R50_T002_M010_N0020_seed08.txt,OR-Tools,10,20,5160.0,0.1242983341217041,Optimal,
probT1_1W_R50_T002_M010_N0020_seed09.txt,PuLP,10,20,6075.0,0.47185230255126953,Optimal,
probT1_1W_R50_T002_M010_N0020_seed09.txt,OR-Tools,10,20,6075.0,0.4459264278411865,Optimal,
probT1_1W_R50_T002_M010_N0020_seed10.txt,PuLP,10,20,6102.0,0.5343015193939209,Optimal,
probT1_1W_R50_T002_M010_N0020_seed10.txt,OR-Tools,10,20,6102.0,0.6054155826568604,Optimal,
probT1_1W_R50_T002_M010_N0040_seed01.txt,PuLP,10,40,12110.0,60.22901916503906,Optimal,
probT1_1W_R50_T002_M010_N0040_seed01.txt,OR-Tools,10,40,11976.0,60.190974712371826,Feasible,
probT1_1W_R50_T002_M010_N0040_seed02.txt,PuLP,10,40,11944.0,60.26815843582153,Optimal,
probT1_1W_R50_T002_M010_N0040_seed02.txt,OR-Tools,10,40,11859.0,60.122403144836426,Feasible,
probT1_1W_R50_T002_M010_N0040_seed03.txt,PuLP,10,40,12530.0,60.11952447891235,Optimal,
probT1_1W_R50_T002_M010_N0040_seed03.txt,OR-Tools,10,40,12352.0,60.100934982299805,Feasible,
probT1_1W_R50_T002_M010_N0040_seed04.txt,PuLP,10,40,12919.0,60.166741371154785,Optimal,
probT1_1W_R50_T002_M010_N0040_seed04.txt,OR-Tools,10,40,12991.0,60.14054560661316,Feasible,
probT1_1W_R50_T002_M010_N0040_seed05.txt,PuLP,10,40,11724.0,60.20871877670288,Optimal,
probT1_1W_R50_T002_M010_N0040_seed05.txt,OR-Tools,10,40,11724.0,60.14418816566467,Feasible,
probT1_1W_R50_T002_M010_N0040_seed06.txt,PuLP,10,40,12969.0,60.166216135025024,Optimal,
probT1_1W_R50_T002_M010_N0040_seed06.txt,OR-Tools,10,40,12995.0,60.13742637634277,Feasible,
probT1_1W_R50_T002_M010_N0040_seed07.txt,PuLP,10,40,11330.0,60.23758125305176,Optimal,
probT1_1W_R50_T002_M010_N0040_seed07.txt,OR-Tools,10,40,11537.0,60.17465019226074,Feasible,
probT1_1W_R50_T002_M010_N0040_seed08.txt,PuLP,10,40,11391.0,60.242626428604126,Optimal,
probT1_1W_R50_T002_M010_N0040_seed08.txt,OR-Tools,10,40,11570.0,60.17560839653015,Feasible,
probT1_1W_R50_T002_M010_N0040_seed09.txt,PuLP,10,40,12699.0,60.276060342788696,Optimal,
probT1_1W_R50_T002_M010_N0040_seed09.txt,OR-Tools,10,40,12664.0,60.20729923248291,Feasible,
probT1_1W_R50_T002_M010_N0040_seed10.txt,PuLP,10,40,12663.0,60.26159167289734,Optimal,
probT1_1W_R50_T002_M010_N0040_seed10.txt,OR-Tools,10,40,12608.0,60.18277454376221,Feasible,
probT1_1W_R50_T002_M010_N0060_seed01.txt,PuLP,10,60,18606.0,60.232948780059814,Optimal,
probT1_1W_R50_T002_M010_N0060_seed01.txt,OR-Tools,10,60,18672.0,60.14273428916931,Feasible,
probT1_1W_R50_T002_M010_N0060_seed02.txt,PuLP,10,60,17887.0,60.35273313522339,Optimal,
probT1_1W_R50_T002_M010_N0060_seed02.txt,OR-Tools,10,60,17960.0,60.259371757507324,Feasible,
probT1_1W_R50_T002_M010_N0060_seed03.txt,PuLP,10,60,17372.0,60.397568702697754,Optimal,
probT1_1W_R50_T002_M010_N0060_seed03.txt,OR-Tools,10,60,17731.0,60.10912728309631,Feasible,
probT1_1W_R50_T002_M010_N0060_seed04.txt,PuLP,10,60,18159.0,60.16076612472534,Optimal,
probT1_1W_R50_T002_M010_N0060_seed04.txt,OR-Tools,10,60,18159.0,60.167906284332275,Feasible,
probT1_1W_R50_T002_M010_N0060_seed05.txt,PuLP,10,60,18202.0,60.4695611000061,Optimal,
probT1_1W_R50_T002_M010_N0060_seed05.txt,OR-Tools,10,60,18111.0,60.16773009300232,Feasible,
probT1_1W_R50_T002_M010_N0060_seed06.txt,PuLP,10,60,19122.0,60.1343309879303,Optimal,
probT1_1W_R50_T002_M010_N0060_seed06.txt,OR-Tools,10,60,19277.0,60.18536376953125,Feasible,
probT1_1W_R50_T002_M010_N0060_seed07.txt,PuLP,10,60,17813.0,60.21962881088257,Optimal,
